"day","area","area_id","latitude","longitude","unique_users"
2021-12-13,"Adda Martesana",100001,5050171.18121141,541223.862031536,369069.333333333
2021-12-13,"Agrate Brianza",108001,5047019.10577627,527381.4061614,17135.3333333333
2021-12-13,"Albavilla",13003,5072190.10196782,514646.344005163,2962
2021-12-13,"Alta Val Camonica",100002,5103183.58479817,603619.492035382,8482.66666666667
2021-12-13,"Alta Valtellina",100003,5152055.70628961,590475.999207332,34973
2021-12-13,"Alto milanese",100004,5048679.74893391,490021.744499627,210703.333333333
2021-12-13,"Aprica",14004,5111658.00882182,588929.533581862,1863.66666666667
2021-12-13,"Arcore",108004,5052606.91303028,525058.679191802,17846.6666666667
2021-12-13,"Assago",15011,5027973.78706775,510277.955570607,14745
2021-12-13,"Bagnatica",16018,5056666.80369908,560847.417986092,7718
2021-12-13,"Bagolino",17010,5075484.54661869,613621.759162633,3610
2021-12-13,"Baranzate",15250,5041467.04709408,509134.815350579,7282
2021-12-13,"Basiglio",15015,5021751.62291378,512880.428181061,5666
2021-12-13,"Bassa Valtellina",200001,5126676.4230564,564967.541363986,55530.3333333333
2021-12-13,"Bellagio-Oliveto Lario",13250,5086052.16816451,520845.725890299,1642
2021-12-13,"Bellano-Perledo",97008,5096552.60749212,522309.987826649,4398.66666666667
2021-12-13,"Bergamo",16,5067287.42793961,558656.382772464,851440
2021-12-13,"Bergamo",16024,5067287.42793961,558656.382772464,112446.666666667
2021-12-13,"Binasco",15024,5019833.94218753,507834.850424013,8565.66666666667
2021-12-13,"Bollate",15027,5043244.51354304,509179.347238014,27718.6666666667
2021-12-13,"Borgo Virgilio",20071,4994289.25656644,640532.538808696,9704.66666666667
2021-12-13,"Bormio",14009,5147101.00405533,605348.130350529,2835.33333333333
2021-12-13,"Brembate",16037,5050192.80058632,543327.159446007,8235.33333333333
2021-12-13,"Brescia",17,5070546.4172585,610845.940224952,1003577.33333333
2021-12-13,"Brescia",17029,5070546.4172585,610845.940224952,187441.333333333
2021-12-13,"Bresso",15032,5042651.07130136,514753.713774894,17749.3333333333
2021-12-13,"Busto Arsizio",12026,5050942.62227033,488446.669745315,69605.3333333333
2021-12-13,"Cambiago",15044,5046644.566952,533304.911706607,6261.66666666667
2021-12-13,"Campodolcino",14012,5138871.94116921,527154.033442267,816
2021-12-13,"Cardano Al Campo",12032,5054710.61324685,482271.871973483,10641
2021-12-13,"Carpiano",15050,5020820.96171291,521367.775895724,4486
2021-12-13,"Casalmaggiore",19021,4982412.37582736,611577.698700174,20869
2021-12-13,"Caspoggio",14013,5123809.11560252,566576.020136841,184
2021-12-13,"Cassano D'Adda",15059,5041554.31009362,540723.393971418,25440.3333333333
2021-12-13,"Castenedolo",17043,5036158.48690832,601483.700804724,9458.66666666667
2021-12-13,"Castiglione Delle Stiviere",20017,5027318.15907584,616547.793830234,17448.6666666667
2021-12-13,"Castione Della Presolana",16064,5084286.02768149,580280.411482419,3816.66666666667
2021-12-13,"Castronno-Brunello",12047,5067189.8943576,485151.371124831,7716.33333333333
2021-12-13,"Cavenago Di Brianza",108017,5048014.78130679,532456.478539766,4866
2021-12-13,"Centro Valle Intelvi",13254,5088545.40172028,504940.00041637,3683.66666666667
2021-12-13,"Cernobbio-Moltrasio",13065,5077138.06344677,506469.772152974,5011.66666666667
2021-12-13,"Cernusco Sul Naviglio",15070,5041278.06359903,525842.86731051,38006
2021-12-13,"Cerro Maggiore",15072,5048831.13387201,496208.69366456,12364.3333333333
2021-12-13,"Cesano Maderno",108019,5052771.31499025,511439.114098761,41363.6666666667
2021-12-13,"Chiavenna",14018,5129656.08526541,530678.09687926,8200.33333333333
2021-12-13,"Chiesa In Valmalenco",14019,5123740.57768586,565476.990661387,2822.33333333333
2021-12-13,"Cinisello Balsamo",15077,5045034.18125727,516717.026908413,64219
2021-12-13,"Clusone",16077,5081940.75779939,573683.393122867,14460
2021-12-13,"Colico",97023,5109260.68514978,528874.538893343,11886.3333333333
2021-12-13,"Cologno Monzese",15081,5041706.42092303,521725.790902128,41726.6666666667
2021-12-13,"Como",13,5087333.7368626,511581.777058834,468842.666666667
2021-12-13,"Como",13075,5087333.7368626,511581.777058834,86911.6666666667
2021-12-13,"Concorezzo",108021,5048514.09450035,526204.842725119,11767.6666666667
2021-12-13,"Corbetta",15085,5034715.27638179,493753.092710873,17395
2021-12-13,"Cornaredo",15087,5038684.03650626,502011.392602302,15467
2021-12-13,"Corteno Golgi",17063,5113264.96029823,595994.773223533,3594
2021-12-13,"Crema",19035,5023487.11442057,553839.086670176,35053.3333333333
2021-12-13,"Cremona",19,5008009.13512504,581419.807309953,287084.333333333
2021-12-13,"Cremona",19036,5008009.13512504,581419.807309953,61839
