area,area_id,latitudine,longitudine,comune,COD_PROV,PRO_COM
Adda Martesana,100001,45.6038613,9.5286262,Trezzo sull'Adda,15,15221
Agrate Brianza,108001,45.5761735,9.3509475,Agrate Brianza,108,108001
Albavilla,13003,45.8031171,9.1884829,Albavilla,13,13003
Alta Val Camonica,100002,46.0743721,10.3399953,Sellero,17,17176
Alta Valtellina,100003,46.5405625,10.1838165,Livigno,14,14037
Alto milanese,100004,45.5915884,8.8720737,Legnano,15,15118
Aprica,14004,46.152697,10.151656,Aprica,14,14004
Arcore,108004,45.626556,9.3214647,Arcore,108,108004
Assago,15011,45.4052073,9.1313346,Assago,15,15011
Bagnatica,16018,45.660881,9.781057,Bagnatica,16,16018
Bagolino,17010,45.8235613,10.4627308,Bagolino,17,17010
Baranzate,15250,45.5266783,9.1169782,Baranzate,15,15250
Basiglio,15015,45.3491567,9.1644272,Basiglio,15,15015
Bassa Valtellina,200001,46.290553,9.8434507,Chiesa in Valmalenco,14,14019
Bellagio-Oliveto Lario,13250,45.9277589,9.2678109,Bellagio,13,13250
Bellano-Perledo,97008,46.0220029,9.2881779,Perledo,97,97067
Bergamo,16,45.7566557,9.7542192,Nembro,16,16144
Bergamo,16024,45.7566557,9.7542192,Nembro,16,16144
Binasco,15024,45.3319695,9.0999868,Binasco,15,15024
Bollate,15027,45.5426768,9.1175818,Bollate,15,15027
Borgo Virgilio,20071,45.0881067,10.7858012,Borgo Virgilio,20,20071
Bormio,14009,46.4692482,10.3721712,Bormio,14,14009
Brembate,16037,45.6039279,9.5555981,Brembate,16,16037
Brescia,17,45.7795805,10.425873,Lavenone,17,17087
Brescia,17029,45.7795805,10.425873,Lavenone,17,17087
Bresso,15032,45.5372394,9.1889678,Bresso,15,15032
Brienno-Argegno,13030,,,,,
Busto Arsizio,12026,45.611932,8.8518269,Busto Arsizio,12,12026
Cambiago,15044,45.5725439,9.4268416,Cambiago,15,15044
Campodolcino,14012,46.4028756,9.3532536,Campodolcino,14,14012
Cardano Al Campo,12032,45.645717,8.7724976,Cardano al Campo,12,12032
Carpiano,15050,45.3405722,9.2727326,Carpiano,15,15050
Casalmaggiore,19021,44.9863857,10.4153504,Casalmaggiore,19,19021
Caspoggio,14013,46.2645945,9.863925,Caspoggio,14,14013
Cassano D'Adda,15059,45.5263333,9.5214907,Cassano d'Adda,15,15059
Castenedolo,17043,45.4715763,10.29831,Castenedolo,17,17043
Castiglione Delle Stiviere,20017,45.3896766,10.4888745,Castiglione delle Stiviere,20,20017
Castione Della Presolana,16064,45.907455,10.0350592,Castione della Presolana,16,16064
Castronno-Brunello,12047,45.7581077,8.8090676,Castronno,12,12047
Cavenago Di Brianza,108017,45.584917,9.4160593,Cavenago di Brianza,108,108017
Centro Valle Intelvi,13254,45.9504613,9.0637408,Centro Valle Intelvi,13,13254
Cernobbio-Moltrasio,13065,45.8477769,9.0833257,Cernobbio,13,13065
Cernusco Sul Naviglio,15070,45.5245578,9.330925,Cernusco sul Naviglio,15,15070
Cerro Maggiore,15072,45.5930123,8.9513923,Cerro Maggiore,15,15072
Cesano Maderno,108019,45.6283938,9.1467512,Cesano Maderno,108,108019
Chiavenna,14018,46.3197862,9.3984945,Chiavenna,14,14018
Chiesa In Valmalenco,14019,46.2640846,9.8496555,Chiesa in Valmalenco,14,14019
Cinisello Balsamo,15077,45.5586454,9.2141955,Cinisello Balsamo,15,15077
Clusone,16077,45.887088,9.949656,Clusone,16,16077
Colico,97023,46.1363111,9.3738195,Colico,97,97023
Cologno Monzese,15081,45.528554,9.2782244,Cologno Monzese,15,15081
Como,13,45.9394759,9.1494101,Lezzeno,13,13126
Como,13075,45.9394759,9.1494101,Lezzeno,13,13126
Concorezzo,108021,45.589675,9.335948,Concorezzo,108,108021
Corbetta,15085,45.4659366,8.9200896,Corbetta,15,15085
Cornaredo,15087,45.5016851,9.025746,Cornaredo,15,15087
Corteno Golgi,17063,46.166198,10.243457,Corteno Golgi,17,17063
Crema,19035,45.362828,9.6874573,Crema,19,19035
Cremona,19,45.2208641,10.037038,Pozzaglio ed Uniti,19,19077
Cremona,19036,45.2208641,10.037038,Pozzaglio ed Uniti,19,19077
Cusago,15097,45.447848,9.0345128,Cusago,15,15097
Dalmine,16091,45.6472193,9.6019202,Dalmine,16,16091
Darfo Boario Terme,17065,45.8834863,10.1807068,Darfo Boario Terme,17,17065
Dervio,97030,46.0765742,9.3045277,Dervio,97,97030
Desenzano Del Garda,17067,45.4694851,10.5389467,Desenzano del Garda,17,17067
Desio,108023,45.6183103,9.2081245,Desio,108,108023
Domaso-Vercana,13089,46.1524596,9.3317858,Domaso,13,13089
Dongo,13090,46.1229363,9.2790794,Dongo,13,13090
Erba,13095,45.8097196,9.2166985,Erba,13,13095
Erbusco,17069,45.5984995,9.9722164,Erbusco,17,17069
Ferno,12068,45.6141475,8.7545482,Ferno,12,12068
Gallarate,12070,45.6598951,8.7932013,Gallarate,12,12070
Garbagnate Milanese,15105,45.5772279,9.080023,Garbagnate Milanese,15,15105
Garbagnate Monastero,97037,45.772846,9.302857,Garbagnate Monastero,97,97037
Gardone Riviera,17074,45.6187853,10.5591005,Gardone Riviera,17,17074
Gargnano,17076,45.688138,10.6635006,Gargnano,17,17076
Gera Lario-Sorico,13107,,,,,
Grandate,13110,45.775177,9.057838,Grandate,13,13110
Grandola Ed Uniti-Carlazzo,13111,46.0326683,9.2046887,Grandola ed Uniti,13,13111
Grassobbio,16117,45.6572304,9.7231068,Grassobbio,16,16117
Gravedona Ed Uniti,13249,46.1576753,9.1843756,Gravedona ed Uniti,13,13249
Guardamiglio,98029,45.1099019,9.6797907,Guardamiglio,98,98029
Idro,17082,45.7377454,10.4783256,Idro,17,17082
Iseo,17085,45.6598202,10.048788,Iseo,17,17085
Lago Maggiore,200006,45.9510936,8.6341652,Castelveccana,12,12045
Lago d'Iseo,200005,45.7388781,10.0708661,Marone,17,17106
Lago di Como,200002,45.9917589,9.264881,Bellagio,13,13250
Lago di Garda,200003,45.6624314,10.6861569,Gargnano,17,17076
Lago di Varese,200004,45.8158997,8.7366582,Biandronno,12,12014
Lainate,15116,45.57093,9.0270637,Lainate,15,15116
Laveno-Mombello,12087,45.9094996,8.6119864,Laveno-Mombello,12,12087
Lecco,97,45.9005485,9.4120248,Ballabio,97,97004
Lecco,97042,45.9005485,9.4120248,Ballabio,97,97004
Legnano,15118,45.5946464,8.9181625,Legnano,15,15118
Lezzeno,13126,45.9450751,9.1941117,Lezzeno,13,13126
Lierna-Varenna,97043,45.9486536,9.3024289,Lierna,97,97043
Limbiate,108027,45.5984024,9.1194356,Limbiate,108,108027
Limone Sul Garda,17089,45.8141083,10.7915342,Limone sul Garda,17,17089
Lissone,108028,45.6107705,9.2408409,Lissone,108,108028
Livigno,14037,46.5381734,10.1359928,Livigno,14,14037
Lodi,98,45.2613104,9.4916781,Massalengo,98,98037
Lodi,98031,45.2613104,9.4916781,Massalengo,98,98037
Lomazzo,13133,45.6984514,9.0363529,Lomazzo,13,13133
Lonate Pozzolo-Vizzola Ticino,12090,45.6074608,8.7108307,Lonate Pozzolo,12,12090
Lonato Del Garda,17092,45.4610389,10.4845346,Lonato del Garda,17,17092
Lovere,16128,45.8168815,10.0752136,Lovere,16,16128
Luino,12092,45.9989084,8.739907,Luino,12,12092
Maccagno Con Pino E Veddasca,12142,46.0736847,8.7764085,Maccagno con Pino e Veddasca,12,12142
Madesimo,14035,46.4362982,9.3584136,Madesimo,14,14035
Magentino e Abbiatense,100005,,,,,
Malgrate,97045,45.8526004,9.3752977,Malgrate,97,97045
Mandello Del Lario,97046,45.919183,9.319341,Mandello del Lario,97,97046
Manerba Del Garda,17102,45.549434,10.5512888,Manerba del Garda,17,17102
Mantova,20,45.1692628,10.6708365,Rodigo,20,20051
Mantova,20030,45.1692628,10.6708365,Rodigo,20,20051
Marone,17106,45.736086,10.093762,Marone,17,17106
Media Valtellina,100006,45.4935178,9.1822489,Milano,15,15146
Menaggio,13145,46.0197842,9.2389513,Menaggio,13,13145
Milano,15,45.4641943,9.1896346,Milano,15,15146
Milano,15146,45.4641943,9.1896346,Milano,15,15146
Moniga Del Garda,17109,45.528523,10.5375734,Moniga del Garda,17,17109
Montagne Bergamasche,200007,,,,,
Montano Lucino,13154,45.7903314,9.0275206,Montano Lucino,13,13154
Montichiari,17113,45.415181,10.390675,Montichiari,17,17113
Monza,108033,45.6395418,9.2788304,Biassono,108,108009
Monza e della Brianza,108,45.6395418,9.2788304,Biassono,108,108009
Monzambano,20036,45.386139,10.6924039,Monzambano,20,20036
Mozzo,16143,45.69868,9.608652,Mozzo,16,16143
Nord Milano,100007,45.4443405,9.2046972,Milano,15,15146
Nord Ovest,100008,45.477417,10.9736252,,,
Novate Milanese,15157,45.5316547,9.1407322,Novate Milanese,15,15157
Novedrate,13163,45.6989461,9.1204975,Novedrate,13,13163
Olgiate Olona,12108,45.6309999,8.8898408,Olgiate Olona,12,12108
Oltrepò Pavese,200008,,,,,
Orio Al Serio,16150,45.6762274,9.6929555,Orio al Serio,16,16150
Orzivecchi,17126,45.4206595,9.9617289,Orzivecchi,17,17126
Ospedaletto Lodigiano,98043,45.168767,9.578661,Ospedaletto Lodigiano,98,98043
Ossona,15164,45.5062108,8.9012659,Ossona,15,15164
Padenghe Sul Garda,17129,45.509584,10.506376,Padenghe sul Garda,17,17129
Paderno Dugnano,15166,45.5718756,9.1691935,Paderno Dugnano,15,15166
Pavia,18,45.0368546,9.1378251,Robecco Pavese,18,18124
Pavia,18110,45.0368546,9.1378251,Robecco Pavese,18,18124
Pero,15170,45.5101617,9.0894415,Pero,15,15170
Peschiera Borromeo,15171,45.4318465,9.311479,Peschiera Borromeo,15,15171
Pieve Emanuele,15173,45.3559126,9.2020722,Pieve Emanuele,15,15173
Ponte Di Legno,17148,46.258603,10.508662,Ponte di Legno,17,17148
Ponte San Pietro,16170,45.6977541,9.5872254,Ponte San Pietro,16,16170
Ponti Sul Mincio,20044,45.4125151,10.6872208,Ponti sul Mincio,20,20044
Porlezza,13189,46.0360715,9.1183915,Porlezza,13,13189
Pozzolengo,17151,45.4059696,10.6313729,Pozzolengo,17,17151
Pusiano-Eupilio,13193,45.8015651,9.2700397,Eupilio,13,13097
Rezzato,17161,45.5142403,10.3168627,Rezzato,17,17161
Rho,15182,45.528878,9.04156,Rho,15,15182
Riva Di Solto,16180,45.7734318,10.0385394,Riva di Solto,16,16180
Rodengo Saiano,17163,45.5976458,10.1094679,Rodengo Saiano,17,17163
Rozzano,15189,45.3829973,9.1545305,Rozzano,15,15189
Salò,17170,45.6056775,10.520069,SalÃ²,17,17170
San Donato Milanese,15192,45.41807,9.27165,San Donato Milanese,15,15192
San Felice Del Benaco,17171,45.5895461,10.5517327,San Felice del Benaco,17,17171
San Giorgio Bigarello,20057,45.1805304,10.8717887,San Giorgio Bigarello,20,20057
San Martino In Strada,98048,45.2715321,9.5280318,San Martino in Strada,98,98048
San Pellegrino Terme,16190,45.8386307,9.6647313,San Pellegrino Terme,16,16190
San Siro,13248,45.4782003,9.123964,Milano,15,15146
San Vittore Olona,15201,45.5860911,8.9426962,San Vittore Olona,15,15201
Sarnico,16193,45.6701431,9.9635127,Sarnico,16,16193
Saronno,12119,45.6256764,9.0373283,Saronno,12,12119
Segrate,15205,45.4907352,9.2948204,Segrate,15,15205
Sesto Calende,12120,45.7239553,8.6343618,Sesto Calende,12,12120
Sesto San Giovanni,15209,45.5357218,9.2376549,Sesto San Giovanni,15,15209
Settala,15210,45.4558605,9.3917427,Settala,15,15210
Settimo Milanese,15211,45.4794715,9.0546807,Settimo Milanese,15,15211
Sirmione,17179,45.4688494,10.6078237,Sirmione,17,17179
Soiano Del Lago,17180,45.527784,10.512675,Soiano del Lago,17,17180
Solbiate Olona,12122,45.6513793,8.887751,Solbiate Olona,12,12122
Somma Lombardo,12123,45.6836207,8.7070874,Somma Lombardo,12,12123
Sondrio,14,46.3233624,10.2584137,Grosio,14,14033
Sondrio,14061,46.3233624,10.2584137,Grosio,14,14033
Stezzano,16207,45.6513805,9.6535097,Stezzano,16,16207
Sud Est,100009,45.4165549,11.0519921,,,
Sud Ovest,100010,45.4008928,10.9371686,,,
Tavernola Bergamasca-Predore,16211,45.6840531,10.0436981,Predore,16,16174
Teglio,14065,46.172675,10.0641264,Teglio,14,14065
Temù,17184,46.2487384,10.4693162,TemÃ¹,17,17184
Tignale,17185,45.7397806,10.7217649,Tignale,17,17185
Tirano,14066,46.2156719,10.1731777,Tirano,14,14066
Torno-Blevio,13223,,,,,
Toscolano-Maderno,17187,45.6345707,10.609815,Toscolano-Maderno,17,17187
Tremezzina-Griante,13252,45.9989649,9.2200894,Griante,13,13113
Tremosine Sul Garda,17189,45.7710786,10.7607733,Tremosine sul Garda,17,17189
Trezzano Sul Naviglio,15220,45.4182125,9.0710538,Trezzano sul Naviglio,15,15220
Turate,13227,45.6548024,9.0022871,Turate,13,13227
Val Masino,14074,46.2456547,9.6378883,Val Masino,14,14074
Valbondione,16223,46.034193,10.005855,Valbondione,16,16223
Valchiavenna,200009,46.2279737,9.4326302,Samolaco,14,14057
Valdidentro,14071,46.5089085,10.2908053,Valdidentro,14,14071
Valdisotto,14072,46.4252151,10.3574185,Valdisotto,14,14072
Valfurva,14073,46.4166618,10.5125922,Valfurva,14,14073
Valsassina,200010,45.8533924,9.4242661,Lecco,97,97042
Varedo,108045,45.5974437,9.1562926,Varedo,108,108045
Varese,12,45.8397203,8.7541338,Barasso,12,12008
Varese,12133,45.8397203,8.7541338,Barasso,12,12008
Verdellino,16232,45.6031356,9.6156095,Verdellino,16,16232
Vergiate,12138,45.7248471,8.6940232,Vergiate,12,12138
Vermiglio,22213,46.296905,10.691365,,,
Vezza D'Oglio,17198,46.2402134,10.3997325,Vezza d'Oglio,17,17198
Vigevano,18177,45.3170942,8.858603,Vigevano,18,18177
Vimercate,108050,45.6139627,9.37006,Vimercate,108,108050
Vione,17202,46.248402,10.447161,Vione,17,17202
Volta Mantovana,20070,45.3213025,10.6592238,Volta Mantovana,20,20070
