"IdSensore","NomeTipoSensore","Idstazione","NomeStazione","Quota","Provincia","Comune","DataStart","DataStop","lat","lng"
"10320","PM10 (SM2005)","548","Milano v.Senato","118","MI","Milano","10/08/2007",,"45.470501","9.19746075"
"9961","PM10 (SM2005)","669","Brescia Villaggio Sereno","70","BS","Brescia","01/01/2006",,"45.51306214","10.19190606"
"9927","PM10 (SM2005)","677","Cremona Via Fatebenefratelli","43","CR","Cremona","08/04/2006",,"45.14254358","10.04384767"
"10483","PM10 (SM2005)","1265","Lodi S.Alberto","76","LO","Lodi","03/08/2009",,"45.30278678","9.49528589"
"9835","PM10 (SM2005)","664","Mantova p.zza Gramsci","18","MN","Mantova","28/12/2004",,"45.15175186","10.78141717"
"20429","PM10 (SM2005)","501","Milano v.Marche","129","MI","Milano","01/01/2018",,"45.49631883","9.19093444"
"10290","PM10 (SM2005)","706","Lecco v.Sora","272","LC","Lecco","31/12/2000",,"45.86375372","9.39995481"
"6917","PM10 (SM2005)","558","Busto Arsizio  Accam","206","VA","Busto Arsizio","20/01/1999",,"45.58289429","8.84216546"
"10413","PM10 (SM2005)","1263","Villa di Serio v. Glera","280","BG","Villa di Serio","07/10/2008","30/07/2018","45.727881","9.738481"
"10077","PM10 (SM2005)","694","Salionze v. Campagna Rossa","109","VR","Salionze","29/11/2006",,"45.40331803","10.72660167"
"6925","PM10 (SM2005)","571","Bormio v.Monte Braulio","1225","SO","Bormio","18/04/2003",,"46.46952397","10.37543275"
"6907","PM10 (SM2005)","513","Trezzo sull'Adda v.Nenni","199","MI","Trezzo sull'Adda","03/04/2001","01/01/2017","45.61370028","9.508134"
"10354","PM10 (SM2005)","516","Robecchetto con Induno v. Pertini","135","MI","Robecchetto con Induno","27/06/2008","06/06/2023","45.51782742","8.76656744"
"10103","PM10 (SM2005)","697","Borgofranco sul Po loc. Bonizzo","14","MN","Borgofranco sul Po","01/01/2007",,"45.04650286","11.18094889"
"17293","PM10 (SM2005)","1264","Sondrio v.Paribelli","290","SO","Sondrio","09/10/2012",,"46.16785664","9.87921169"
"20155","PM10 (SM2005)","690","Mezzana Bigli loc. Casoni","73","PV","Mezzana Bigli","20/11/2013",,"45.06966728","8.86890217"
"10273","PM10 (SM2005)","705","Milano Pascal Città Studi","122","MI","Milano","21/04/2007",,"45.478347","9.231667"
"6953","PM10 (SM2005)","659","Odolo v.Praes","349","BS","Odolo","23/06/2000",,"45.64605175","10.38929672"
"6962","PM10 (SM2005)","595","Filago v.Don Milani","190","BG","Filago","14/10/2004",,"45.63387247","9.55609572"
"6942","PM10 (SM2005)","628","Cremona p.zza Libertà","61","CR","Cremona","05/06/1996","04/04/2006","45.13738208","10.03237064"
"10114","PM10 (SM2005)","698","Ceneselli v. Moro","13","RO","Ceneselli","01/01/2007","01/01/2017","45.013458","11.372581"
"6935","PM10 (SM2005)","592","Treviglio p.zza Insurrezione","191","BG","Treviglio","03/02/2000",,"45.51933533","9.59201917"
"17290","PM10 (SM2005)","1374","Monza Parco","181","MB","Monza","15/02/2013",,"45.603072","9.276156"
